date,name,result
2025-07-29,H_2480_2198,干したが完全には乾かせなかった（泣）
2025-07-29,H_1631_1434,完全乾燥
2025-07-25,H_2321_2696,干したが完全には乾かせなかった（泣）
2025-07-25,H_2304_2689,干したが完全には乾かせなかった（泣）
2025-07-15,H_1278_3025,完全乾燥
2025-07-12,H_2065_1369,完全乾燥
2025-07-12,H_2480_2198,完全乾燥
2025-07-11,H_2065_1369,完全乾燥
2025-07-11,H_1631_1434,完全乾燥
2025-07-10,H_1631_1434,完全乾燥
2025-07-09,H_1631_1434,完全乾燥
2025-07-08,H_1631_1434,完全乾燥
2025-07-07,H_1631_1434,完全乾燥
2025-07-07,H_2480_2198,完全乾燥
2025-07-06,H_1631_1434,中止
2025-07-06,H_2446_1774,中止
2025-07-06,H_2080_1451,中止
2025-07-06,H_2065_1375,中止
2025-07-05,H_1631_1434,中止
2025-07-05,H_2446_1774,中止
2025-07-05,H_2080_1451,中止
2025-07-05,H_2065_1375,中止
2025-07-04,H_1631_1434,中止
2025-07-04,H_2446_1774,中止
2025-07-04,H_2080_1451,中止
2025-07-04,H_2065_1375,中止
2025-07-03,H_1631_1434,中止
2025-07-03,H_2446_1774,中止
2025-07-03,H_2080_1451,中止
2025-07-03,H_2065_1375,中止
2025-07-02,H_1631_1434,中止
2025-07-02,H_2446_1774,中止
2025-07-02,H_2080_1451,中止
2025-07-02,H_2065_1375,中止
2025-07-01,H_1631_1434,中止
2025-07-01,H_2446_1774,中止
2025-07-01,H_2080_1451,中止
2025-07-01,H_2065_1375,中止
2025-06-30,H_1631_1434,中止
2025-06-19,H_1631_1434,中止
2025-06-19,H_2446_1774,干したが完全には乾かせなかった（泣）
2025-06-20,H_1631_1434,中止
2025-06-20,H_2446_1774,中止
2025-06-20,H_2080_1451,干したが完全には乾かせなかった（泣）
2025-06-20,H_2065_1375,干したが完全には乾かせなかった（泣）
2025-06-21,H_1631_1434,中止
2025-06-22,H_1631_1434,干したが完全には乾かせなかった（泣）
2025-06-23,H_2480_2198,完全乾燥
2025-06-23,H_2478_2195,完全乾燥
2025-06-25,H_2446_1774,完全乾燥
2025-06-27,H_1631_1434,完全乾燥
2025-06-28,H_1631_1434,完全乾燥
2025-06-29,H_2480_2198,完全乾燥
2025-06-29,H_2478_2195,完全乾燥
2025-06-29,H_2479_2191,完全乾燥
2025-08-01,H_2480_2198,完全乾燥
2025-08-10,H_2065_1368,干したが完全には乾かせなかった（泣）
2025-08-12,H_2065_1368,完全乾燥
2025-08-13,H_2065_1368,完全乾燥
2025-08-13,H_2065_1375,完全乾燥
2025-08-14,H_1631_1434,干したが完全には乾かせなかった（泣）
2025-08-16,H_2065_1368,完全乾燥
2025-08-23,H_1631_1434,完全乾燥
