name,lat,lon
H_1695_1397,45.1695078,141.1397705
H_1642_1430,45.1642297,141.1430654
H_1631_1434,45.1631035,141.1434784
H_1613_1450,45.1613739,141.1450036
H_1187_2021,45.1187228,141.2021983
H_1193_2032,45.1193133,141.2032926
H_1176_2048,45.1176023,141.2048161
H_1176_2068,45.1176175,141.2068331
H_1264_1862,45.1264901,141.1862968
H_1201_1983,45.12012,141.1983058
H_1179_2012,45.1179306,141.2012737
H_1174_2017,45.1174726,141.2017458
H_1141_2080,45.1141486,141.2080556
H_1064_2238,45.1064311,141.2238985
H_0999_2282,45.099954,141.228227
H_1047_2387,45.104712,141.2387548
H_0983_2369,45.0983261,141.2369949
H_0991_2343,45.0991319,141.234371
H_0991_2351,45.09916,141.2351819
H_1014_2312,45.1014286,141.2312722
H_1094_2687,45.1094479,141.268727
H_1098_2701,45.1098663,141.2701888
H_1089_2701,45.1089406,141.2701461
H_1128_2736,45.1128726,141.2736647
H_1123_2744,45.1123653,141.2744747
H_1524_3268,45.1524539,141.3268048
H_1980_3109,45.1980472,141.3109215
H_2212_2878,45.2212342,141.2878744
H_2304_2689,45.2304117,141.2689928
H_2311_2669,45.2311673,141.2669597
H_2321_2696,45.2321359,141.2696453
H_2507_1861,45.2507977,141.1861938
H_2517_1848,45.2517003,141.1848425
H_2475_1845,45.2475868,141.1845035
H_2476_1852,45.2476831,141.1852532
H_2494_1848,45.2494955,141.1848312
H_2011_1417,45.201169,141.141782
H_2020_1404,45.2020959,141.140491
H_2030_1392,45.2030471,141.1392327
H_1998_1383,45.1998289,141.1383242
H_2064_1420,45.2064953,141.1420567
H_2073_1446,45.2073413,141.1446213
H_2080_1451,45.208048,141.1451738
H_2088_1443,45.2088707,141.1443995
H_2065_1375,45.2065728,141.137565
H_2297_1543,45.2297761,141.1543565
H_2292_1551,45.229217,141.1551159
H_1845_1337,45.1845217,141.1337514
H_1857_1317,45.1857184,141.131719
H_2065_1369,45.2065164,141.1369002
H_2077_1364,45.2077046,141.1364899
H_2089_1368,45.2089394,141.1368919
H_2091_1377,45.2091917,141.1377542
H_2095_1370,45.2095628,141.1370219
H_2095_1365,45.2095666,141.1365163
H_2110_1346,45.2110922,141.1346602
